annee;code_reg;nom_reg;filiere_raw;prod_gwh;filiere;prod_mwh;categorie
2014;53;Bretagne;Production thermique (GWh);314.0;Thermique;314000.0;Non-Renouvelable
2021;53;Bretagne;Production thermique (GWh);1049.0;Thermique;1049000.0;Non-Renouvelable
2018;53;Bretagne;Production thermique (GWh);829.0;Thermique;829000.0;Non-Renouvelable
2023;75;Nouvelle-Aquitaine;Production thermique (GWh);720.0;Thermique;720000.0;Non-Renouvelable
2023;76;Occitanie;Production thermique (GWh);270.0;Thermique;270000.0;Non-Renouvelable
2024;76;Occitanie;Production thermique (GWh);189.0;Thermique;189000.0;Non-Renouvelable
2014;84;Auvergne-Rhône-Alpes;Production thermique (GWh);1073.0;Thermique;1073000.0;Non-Renouvelable
2019;84;Auvergne-Rhône-Alpes;Production thermique (GWh);2129.0;Thermique;2129000.0;Non-Renouvelable
2018;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);5802.0;Thermique;5802000.0;Non-Renouvelable
2023;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);4748.0;Thermique;4748000.0;Non-Renouvelable
2024;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);2595.0;Thermique;2595000.0;Non-Renouvelable
2019;94;Corse;Production thermique (GWh);968.0;Thermique;968000.0;Non-Renouvelable
2023;94;Corse;Production thermique (GWh);783.0;Thermique;783000.0;Non-Renouvelable
2019;11;Île-de-France;Production thermique (GWh);1675.0;Thermique;1675000.0;Non-Renouvelable
2023;11;Île-de-France;Production thermique (GWh);1621.0;Thermique;1621000.0;Non-Renouvelable
2014;24;Centre-Val de Loire;Production thermique (GWh);267.0;Thermique;267000.0;Non-Renouvelable
2023;27;Bourgogne-Franche-Comté;Production thermique (GWh);622.0;Thermique;622000.0;Non-Renouvelable
2024;27;Bourgogne-Franche-Comté;Production thermique (GWh);564.0;Thermique;564000.0;Non-Renouvelable
2016;28;Normandie;Production thermique (GWh);5068.0;Thermique;5068000.0;Non-Renouvelable
2021;32;Hauts-de-France;Production thermique (GWh);9263.0;Thermique;9263000.0;Non-Renouvelable
2016;44;Grand Est;Production thermique (GWh);10156.0;Thermique;10156000.0;Non-Renouvelable
2023;44;Grand Est;Production thermique (GWh);8191.0;Thermique;8191000.0;Non-Renouvelable
2016;52;Pays de la Loire;Production thermique (GWh);4021.0;Thermique;4021000.0;Non-Renouvelable
2018;52;Pays de la Loire;Production thermique (GWh);4530.0;Thermique;4530000.0;Non-Renouvelable
2024;52;Pays de la Loire;Production thermique (GWh);1354.0;Thermique;1354000.0;Non-Renouvelable
2017;53;Bretagne;Production thermique (GWh);756.0;Thermique;756000.0;Non-Renouvelable
2016;75;Nouvelle-Aquitaine;Production thermique (GWh);877.0;Thermique;877000.0;Non-Renouvelable
2017;76;Occitanie;Production thermique (GWh);268.0;Thermique;268000.0;Non-Renouvelable
2019;76;Occitanie;Production thermique (GWh);308.0;Thermique;308000.0;Non-Renouvelable
2021;76;Occitanie;Production thermique (GWh);322.0;Thermique;322000.0;Non-Renouvelable
2022;76;Occitanie;Production thermique (GWh);302.0;Thermique;302000.0;Non-Renouvelable
2016;84;Auvergne-Rhône-Alpes;Production thermique (GWh);2540.0;Thermique;2540000.0;Non-Renouvelable
2021;94;Corse;Production thermique (GWh);931.0;Thermique;931000.0;Non-Renouvelable
2020;93;Provence-Alpes-Côte d'Azur;Production thermique (GWh);6926.0;Thermique;6926000.0;Non-Renouvelable
2016;94;Corse;Production thermique (GWh);863.0;Thermique;863000.0;Non-Renouvelable
2020;94;Corse;Production thermique (GWh);796.0;Thermique;796000.0;Non-Renouvelable
2024;11;Île-de-France;Production thermique (GWh);1268.0;Thermique;1268000.0;Non-Renouvelable
2020;24;Centre-Val de Loire;Production thermique (GWh);409.0;Thermique;409000.0;Non-Renouvelable
2021;24;Centre-Val de Loire;Production thermique (GWh);391.0;Thermique;391000.0;Non-Renouvelable
2023;24;Centre-Val de Loire;Production thermique (GWh);294.0;Thermique;294000.0;Non-Renouvelable
2017;27;Bourgogne-Franche-Comté;Production thermique (GWh);693.0;Thermique;693000.0;Non-Renouvelable
2019;27;Bourgogne-Franche-Comté;Production thermique (GWh);747.0;Thermique;747000.0;Non-Renouvelable
2020;28;Normandie;Production thermique (GWh);2937.0;Thermique;2937000.0;Non-Renouvelable
2023;28;Normandie;Production thermique (GWh);2146.0;Thermique;2146000.0;Non-Renouvelable
2018;32;Hauts-de-France;Production thermique (GWh);8899.0;Thermique;8899000.0;Non-Renouvelable
2020;32;Hauts-de-France;Production thermique (GWh);9467.0;Thermique;9467000.0;Non-Renouvelable
2022;32;Hauts-de-France;Production thermique (GWh);10995.0;Thermique;10995000.0;Non-Renouvelable
